symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:AIOT/USDT:USDT,AIOT/USDT:USDT,AIOT,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:AIXBT/TRY,AIXBT/TRY,AIXBT,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
binance:AIXBT/USDC,AIXBT/USDC,AIXBT,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AIXBT/USDT,AIXBT/USDT,AIXBT,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AIXBT/USDT:USDT,AIXBT/USDT:USDT,AIXBT,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:AKRO/BTC,AKRO/BTC,AKRO,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AKRO/BUSD,AKRO/BUSD,AKRO,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00001
binance:AKRO/USDT,AKRO/USDT,AKRO,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.000001
binance:AKT/USDT:USDT,AKT/USDT:USDT,AKT,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.001
binance:ALCH/USDT:USDT,ALCH/USDT:USDT,ALCH,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:ALCX/BTC,ALCX/BTC,ALCX,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.0001,0.0000001
binance:ALCX/BUSD,ALCX/BUSD,ALCX,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.0001,0.01
binance:ALCX/USDT,ALCX/USDT,ALCX,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.0001,0.01
binance:ALGO/BIDR,ALGO/BIDR,ALGO,BIDR,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,1
binance:ALGO/BNB,ALGO/BNB,ALGO,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0000001
binance:ALGO/BTC,ALGO/BTC,ALGO,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ALGO/BUSD,ALGO/BUSD,ALGO,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0001
binance:ALGO/ETH,ALGO/ETH,ALGO,ETH,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.00000001
binance:ALGO/FDUSD,ALGO/FDUSD,ALGO,FDUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0001
binance:ALGO/PAX,ALGO/PAX,ALGO,PAX,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,0.0001
binance:ALGO/RUB,ALGO/RUB,ALGO,RUB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.01
binance:ALGO/TRY,ALGO/TRY,ALGO,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ALGO/TUSD,ALGO/TUSD,ALGO,TUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,0.0001
binance:ALGO/USD:ALGO,ALGO/USD:ALGO,ALGO,USD,swap,0,1,0,0,1,0.0005,0.0001,,,1,0.0001
binance:ALGO/USDC,ALGO/USDC,ALGO,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.0001
binance:ALGO/USDT,ALGO/USDT,ALGO,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.0001
binance:ALGO/USDT:USDT,ALGO/USDT:USDT,ALGO,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.0001
binance:ALICE/BIDR,ALICE/BIDR,ALICE,BIDR,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,1
